R,RHF_STO-3G,RHF_cc-pVDZ,RHF_cc-pVTZ
0.9,-1.0194970559745675,-1.0259315109670974,-1.042447953503673
0.92,-1.0305550699899917,-1.036679510715547,-1.052265265643078
0.9400000000000001,-1.0406712814036667,-1.0465324547409542,-1.0612433466794209
0.96,-1.049911401092612,-1.055556537373424,-1.0694449863699809
0.98,-1.0583356768165981,-1.0638123560364077,-1.0769275690114923
1.0,-1.0659994621433113,-1.0713554664788996,-1.0837436244639367
1.02,-1.0729537168450323,-1.0782368735112398,-1.0899413134444709
1.04,-1.0792454474485889,-1.0845034657093582,-1.0955648559015907
1.06,-1.0849180954342197,-1.090198401370309,-1.1006549100163068
1.08,-1.0900118795857308,-1.0953614519964912,-1.1052489083051003
1.1,-1.0945640981573268,-1.100029308722549,-1.1093813563860042
1.12,-1.0986093958113128,-1.1042358563578643,-1.1130840991894861
1.1400000000000001,-1.102179999672808,-1.108012419074579,-1.1163865587280322
1.1600000000000001,-1.1053059283233537,-1.1113879812169203,-1.1193159469673168
1.1800000000000002,-1.108015177101482,-1.1143893862273204,-1.1218974568516824
1.2,-1.1103338826801763,-1.1170415162711826,-1.1241544341167535
1.22,-1.1122864695428336,-1.1193674547854737,-1.1261085321623743
1.24,-1.1138957806702372,-1.1213886338707733,-1.1277798519505735
1.26,-1.1151831944769643,-1.123124968185047,-1.1291870686293741
1.28,-1.1161687297909058,-1.1245949767746222,-1.1303475463569939
1.3,-1.1168711404508438,-1.125815894088812,-1.1312774426083014
1.32,-1.1173080009008027,-1.1268037712640973,-1.131991803079478
1.34,-1.1174957839838837,-1.1275735686284323,-1.132504648165939
1.36,-1.1174499319804712,-1.1281392402611208,-1.1328290518676596
1.38,-1.1171849217941838,-1.1285138113468027,-1.1329772138729388
1.4,-1.1167143250625515,-1.1287094489798908,-1.1329605254828872
1.42,-1.1160508638566085,-1.1287375270050615,-1.1327896299632787
1.44,-1.115206462533705,-1.1286086854200736,-1.1324744778455416
1.46,-1.1141922962191906,-1.1283328848149266,-1.132024377642082
1.48,-1.1130188363154285,-1.1279194562770452,-1.1314480423927893
1.5,-1.111695893368668,-1.1273771471525156,-1.1307536324173961
1.52,-1.1102326575658765,-1.1267141630193225,-1.1299487946113582
1.54,-1.108637737083432,-1.1259382061975343,-1.1290406985906123
1.56,-1.106919194467066,-1.1250565110939905,-1.1280360699617136
1.58,-1.1050845811873002,-1.124075876654267,-1.126941220968491
1.6,-1.1031409704839001,-1.1230026961720658,-1.1257620787433802
1.62,-1.1010949885905674,-1.1218429846856925,-1.1245042113709296
1.6400000000000001,-1.0989528444109884,-1.1206024041722822,-1.1231728519523703
1.6600000000000001,-1.0967203577030595,-1.1192862867330975,-1.1217729208431022
1.6800000000000002,-1.0944029858170898,-1.1178996559471353,-1.1203090462194418
1.7000000000000002,-1.0920058490258686,-1.1164472465554143,-1.118785583116951
1.7200000000000002,-1.089533754479426,-1.1149335226245567,-1.1172066310694047
1.74,-1.0869912188142572,-1.1133626943254247,-1.11557605046592
1.76,-1.0843824894454688,-1.1117387334509754,-1.1138974777326975
1.78,-1.0817115645708841,-1.1100653877861948,-1.1121743394360242
1.8,-1.0789822119169112,-1.1083461944331334,-1.1104098653941472
1.82,-1.0761979862582458,-1.1065844921844614,-1.1086071008774647
1.84,-1.0733622457458762,-1.1047834330304074,-1.106768917969015
1.8599999999999999,-1.0704781670807222,-1.1029459928762462,-1.1048980261505474
1.88,-1.0675487595727493,-1.1010749815392955,-1.1029969821735381
1.9,-1.0645768781284284,-1.0991730520887475,-1.1010681992688491
1.92,-1.0615652352117255,-1.0972427095846786,-1.0991139557442025
1.94,-1.0585164118261012,-1.0952863192673195,-1.0971364030140403
1.96,-1.0554328675670446,-1.093306114242429,-1.0951375731025879
1.98,-1.052316949795789,-1.091304202703967,-1.0931193856574963
2.0,-1.0491709019858066,-1.0892825747310486,-1.091083654508322
2.02,-1.0459968712946677,-1.087243108692355,-1.0890320938014648
2.04,-1.0427969154135914,-1.0851875772877753,-1.086966323740537
2.06,-1.0395730087466064,-1.083117653253878,-1.0848878759591727
2.08,-1.0363270479708002,-1.081034914757204,-1.082798198551242
2.1,-1.0330608570277446,-1.0789408504969122,-1.0806986607815303
2.12,-1.0297761915948163,-1.0768368645359405,-1.0785905574985246
2.14,-1.0264747430834158,-1.0747242808782504,-1.0764751132694148
2.16,-1.0231581422090446,-1.0726043478075948,-1.074353486256082
2.18,-1.019827962175989,-1.0704782420023533,-1.07222677184956
2.2,-1.0164857215170242,-1.0683470724390558,-1.0700960060793767
2.22,-1.0131328866259937,-1.0662118840964188,-1.0679621688130947
2.24,-1.0097708740186564,-1.0640736614706532,-1.0658261867603855
2.2600000000000002,-1.0064010523544973,-1.0619333319118613,-1.0636889362950508
2.2800000000000002,-1.0030247442496227,-1.0597917687906193,-1.0615512461074563
2.3000000000000003,-0.9996432279083006,-1.0576497945031904,-1.059413899699066
2.32,-0.9962577385981095,-1.0555081833233142,-1.0572776377300046
2.34,-0.9928694699912581,-1.0533676641074672,-1.0551431602297285
2.36,-0.9894795753922374,-1.0512289228610163,-1.0530111286802624
2.38,-0.9860891688697204,-1.0490926051711937,-1.0508821679807878
2.4,-0.9826993263085164,-1.0469593185133241,-1.0487568683016752
2.42,-0.9793110863953585,-1.0448296344357895,-1.0466357868354565
2.44,-0.9759254515504625,-1.0427040906293068,-1.0445194494517576
2.46,-0.9725433888151096,-1.0405831928856173,-1.0424083522625518
2.48,-0.9691658307039104,-1.0384674169505506,-1.0403029631036937
2.5,-0.9657936760289824,-1.036357210275903,-1.0382037229381358
2.52,-0.9624277907018319,-1.03425299367491,-1.036111047185853
2.54,-0.9590690085181397,-1.0321551628852097,-1.0340253269851225
2.56,-0.9557181319287853,-1.030064090043466,-1.0319469303893296
2.58,-0.9523759328002852,-1.0279801250755016,-1.029876203503196
2.6,-0.949043153166726,-1.0259035970055768,-1.027813471561997
2.62,-0.9457205059746026,-1.0238348151882908,-1.0257590399570296
2.64,-0.9424086758214855,-1.0217740704665195,-1.023713195210307
2.66,-0.9391083196889533,-1.0197216362586174,-1.0216762059014135
2.68,-0.9358200676698345,-1.017677769577745,-1.0196483235488087
2.7,-0.9325445236894935,-1.0156427119869598,-1.0176297834480952
2.72,-0.9292822662206626,-1.0136166904920951,-1.015620805469479
2.74,-0.9260338489911406,-1.0115999183759061,-1.013621594816329
2.7600000000000002,-0.9227998016835393,-1.009592595975945,-1.0116323427468268
2.7800000000000002,-0.9195806306261862,-1.0075949114089033,-1.0096532272604164
2.8000000000000003,-0.9163768194742814,-1.0056070412440379,-1.0076844137508458
2.82,-0.9131888298803321,-1.0036291511282789,-1.00572605562721
2.84,-0.9100171021529733,-1.0016613963655714,-1.0037782949046155
2.86,-0.9068620559032546,-0.9997039224529741,-1.0018412627658533
2.88,-0.9037240906776428,-0.9977568655760033,-0.9999150800954674
2.9,-0.9006035865769655,-0.9958203530657286,-0.9979998579874674
2.92,-0.8975009048606077,-0.9938945038200515,-0.9960956982279734
2.94,-0.8944163885354264,-0.9919794286916135,-0.9942026937540107
2.96,-0.8913503629289209,-0.9900752308447262,-0.9923209290895684
2.98,-0.888303136246265,-0.9881820060836348,-0.9904504807600898
3.0,-0.8852750001110459,-0.9862998431546399,-0.9885914176864365
3.02,-0.8822662300892131,-0.9844288240240923,-0.9867438015593654
3.04,-0.8792770861966246,-0.9825690241346763,-0.9849076871955629
3.06,-0.8763078133897964,-0.9807205126420959,-0.9830831228761294
3.08,-0.8733586420401678,-0.978883352634216,-0.9812701506685142
3.1,-0.8704297883919849,-0.9770576013346925,-0.97946880673273
3.12,-0.867521455004084,-0.9752433102929652,-0.977679121612739
3.14,-0.8646338311758122,-0.9734405255624301,-0.9759011205137778
3.16,-0.8617670933575643,-0.9716492878685024,-0.974134823566456
3.18,-0.858921405546258,-0.9698696327680427,-0.9723802460782869
3.2,-0.8560969196662838,-0.9681015908016877,-0.9706373987734094
3.2199999999999998,-0.8532937759364188,-0.9663451876403995,-0.9689062880211217
3.2399999999999998,-0.8505121032232137,-0.9646004442273006,-0.9671869160538491
3.26,-0.8477520193814525,-0.9628673769159484,-0.9654792811751469
3.28,-0.8450136315822574,-0.9611459976059196,-0.9637833779582421
3.3,-0.8422970366294356,-0.9594363138764888,-0.9620991974356381
3.32,-0.8396023212646637,-0.9577383291190575,-0.9604267272802933
3.34,-0.8369295624621246,-0.9560520426688551,-0.9587659519787258
3.36,-0.8342788277132058,-0.9543774499363538,-0.9571168529965246
3.38,-0.8316501753018486,-0.9527145425386534,-0.9554794089365997
3.4,-0.8290436545711526,-0.9510633084310931,-0.9538535956905247
3.42,-0.826459306181793,-0.9494237320391886,-0.9522393865832738
3.44,-0.8238971623628268,-0.9477957943908946,-0.9506367525117096
3.46,-0.8213572471554356,-0.9461794732491806,-0.9490456620770087
3.48,-0.8188395766500494,-0.9445747432447995,-0.9474660817112672
3.5,-0.8163441592174597,-0.9429815760090984,-0.9458979757986644
